"number","title","sections","description","startDate","endDate","startStardate","endStardate","historiansNote","publicationDate","predecessorId"
,"Star Trek: Generations",,,"2371",,"48632.4","48650.1",,"1994-11-18",
"--",,"Enterprise-B launch",,"2293",,,,,,"cinema/tos-movies-STVITUC"
,"Star Trek: First Contact",,,"2373",,"50893.5",,,"1996-11-22",
"--",,"21st century, Zefram Cochrane",,"2063-04-04","2063-04-05",,,,,
,"Star Trek: Insurrection",,,"2375",,,,,"1998-12-11",
,"Star Trek: Nemesis",,,"2379",,"56844.9",,,"2002-12-13",
