number,title,sections,description,startDate,endDate,startStardate,endStardate,historiansNote,publicationDate,predecessorId
,The Beginning,,ST short story,~-2000,,,,,,
,Our Million-Year Mission,,Short story,1012260,,17613341.4,,,,
